作者,user_token,回答,创建时间,赞同数,评论数
匿名用户,,"看大家都是说什么数据，什么实例。看不大懂。简述一下我的情况和周围人的情况。
二线城市，新说法叫新一线。（实际上我也不觉得这个城市有什么前途）中产之家。两套分房一套买房，另配有全款3-4套的股票资产，长线投资。
我28岁学历废物老二本，废物经济学专业互联网公司运营岗，到手1.5万-2万一个月工资跟总营收挂钩，年终另算，估计也就一两个月工资吧。
老婆知名985.英语专业，学霸人物。非常有教育观念，目前和合伙人开一个英语教育机构，才起步。营收基本保持平衡。
小宝马上三岁，幼儿园托班在读一年，即将从私立幼儿园转学校附属幼儿园附属小学（全市前十）每周在爷爷奶奶那里3天在我们自己家4天。
我和老婆现在带娃的感受是什么？由身到心的疲惫。
焦虑小孩3岁了，独立阅读不熟练，十以内的加减法不熟练。英语，表达这些都ok但是并不拔尖。感觉她会被同龄人碾压。
疲倦是基本上每天到家8点到9点，然后还要带娃读书，做家务。工作上要防止老板过河拆桥。要不断学习防止被淘汰（真后悔当年为什么不去考个公务员）我们这些人看着工资高，万一公司还可以那还不错，万一公司不行了，或者老板不行基本上老无所依。压力特别大。
另一方面，我无比欣赏我老婆。聪明貌美有志向，希望她能够做自己想要做的事情。希望她不被生活所迫。事实上我们已经比很多人幸运很多了。
接老婆下班，两个人一起坐地铁。跟老婆聊起来，国家开放生二胎了。话题起了，但是都没有继续这个话题的意思，她不可能放弃她的事业。我爸妈也都60岁的人了，后面不太好带了。她爸妈农村的没有保险，现在仍然在外面打工挣钱养老，不想给我们添加负担。转头又开始聊工作上的事，还有关于我的小闺女的点点滴滴。
让我想起今天下午回办公室（研发+售后+运营），同事们对于三胎的看法。大家十分感激国家给了这么好的政策，但是因为经常加班（或者老公经常加班），表示身体扛不住。同时，公司的产品迭代仍然在继续，市场开拓工作仍然要坚持。关键时刻怎么能因为一己私欲耽误了公司的脚步呢？我们要为国家创造价值嘛，为中国的互联网+进程贡献自己的力量。现场一度非常和谐。
实际上是大家表示自己房贷还有很多现在小孩压力大，养不起。都约着35岁一起去跑外卖滴滴了。现场一度男默女泪。
偶然想起去年和老板一起去长沙出差，聊起来，老板一直劝我再要一个。背后不禁一身冷汗。


为什么该回答不能支持匿名，卧槽，我老板也上知乎。",2021-05-31 23:04:54,84,57
蜜瓜,summer-84-13-77,"听胡歌的《逍遥叹》来让自己淡定和佛系吧
今年我感受到了很多恶意。
96年女，23岁时大学毕业找的工作，当时面试了四五个，没一个问我婚恋情况啥的。
现在25岁，这个月比较焦虑挑了几个待遇更好的公司，我满足岗位上的各种职责和经历。去面试的最后一个问题都会问我婚恋和生娃计划。而且也感觉他们倾向于招年龄更小的女生或者无所谓年龄的男生。
嗯，可能只有继续考公了，今年4月的省考150没进面。也许体制内会更好吧，我无法想象体制外我怀孕要到快生之前才能请假，然后休100多天期间按照劳动法我不会被辞退，但是这些工作肯定有人来替代，100多天休完后会出现什么情况不好预料。
而这样的操作和忧虑我感觉一次就足以让我改变很多观念。三胎在多数情况下要循环这样的操作三次。不在体制内或者说福利没那么好的工作出现一次就基本后续无缘了 。特别如果男方在这个时期不太给力还对我嫌东嫌西的话，人生绝望。这样的绝望循环三次我还会不会是那个阳光开朗正能量热爱社会的中二小清新～不得而知
这只是针对普通女生，家庭优渥或个人能力很强的不在讨论之内。我可能也想要个孩子，但是可能我承担不了这么多责任和失业身材变形的风险，在这一切没准备好之前就算能生十胎又有什么用。
自己都活不好的时候有孩子只会是悲剧。",2021-06-03 19:55:49,69,59
李大琳,li-yan-lin-22-95,"当初发明“计划生育”这个词的人，真的是很厉害。你看他没说是独生子女生育政策，人说的是计划生育。
国家需要你生几个，政策就给你定几个的计划。属实严谨！！！",2021-05-31 19:06:28,28,4
萌芽,mymengya,"热热闹闹“调戏”一下，热闹完了，回归到现实，它在我心头起不了太大波澜。
无论二胎还是三胎是一样的，想生的人，其实一早就想生了，不管用什么方法，一早已经想清楚了；
如果是犹豫不想生的话，其实也不会因为一夕政策下令，就直接转变想法，因为我们面临的问题仍然存在。
我们祖辈：生4、5个小孩
多子现象，到我爷爷奶奶、外公外婆那一辈，依然是鲜明的存在。
把我爸爸妈妈的兄弟姐妹人数算进去，已经超过15个人了，我爷爷奶奶外公外婆辈也是，可以说小时候听他们聊童年的故事，都是兄弟姐妹坐炕头，一起下田玩水踩泥巴。
那会儿家里虽然穷得揭不开锅，但多生孩子是自然而然的选择，基本上不需要什么理由。
我小时候听我爸聊他们吃饭的故事，爸爸告诉我，家里连块肉都没有，就吊一个咸鱼干在饭桌上，大家一点点稀饭，然后看这咸鱼干“望梅止渴”吃，肉是逢年过节才会有的，就那么一小块，基本看不到肉，但也够了，吃一顿，实在不行就饿着。
为什么那个年代大家愿意生那么多呢？
可能整体来说，把一个孩子抚养成人的成本还是低了。虽然贫困，但是在那会儿的农村，只要有田有地，有口饭吃，孩子怎么样都是能长大。加上有食物、粮食补贴和传统的生育观，同时五、六十年代的医疗环境也不够好，避孕措施也不多，导致意外怀孕的现象也是很普遍。
所以，多子家庭并不少见，社会生育意愿也比较强烈。
我们父辈：独生子女政策
到了我们爸爸妈妈这一代成为中年人，要开始抚养孩子的时候，大环境变了。独生子女政策前后影响了社会30年，但我感触并不是特别深，因为我不是独生子女。
我自己是有准生证、在获得合法批准下出生的，这真的是一件很微妙又很难形容的事情，但我身边的堂兄弟姐妹，基本上都是独生子女。小时候很多小朋友都说我是偷养的孩子，好几次哭鼻子都是因为被同学说我“不合法”，后来实在太委屈了，去问爸爸妈妈为什么我会出生。
爸爸妈妈给我看国家颁发的准生证，和我解释了一轮，大体和身为教师的妈妈做了什么贡献有关的，当时政策卡得严，我们整片区，就极少数的家庭才有，我们家也就普通农镇居民，我爸说当年听到这消息第一反应也是“怕是假的吧”……
我小小年纪的印象里对生育只有一个概念，原来有一个手足，是一件好难得的事情，小时候不懂国家大事，只觉得能出生就很不可思议。
后来了解多了，才知道原来还有很多我身边的同龄人，其实也有兄弟姐妹，但是偷偷地放在别人家寄养，或者放在村里不上户口，慢慢我也不提我有准生证这件事情了，觉得有准生证对于身边有兄弟姐妹却不得见面的同学来说，是一种伤害，我也不想这么做。
但因为有个一起生活的哥哥，我从小的确有很多不一样的手足经历。可以说，作为全家最小的那个孩子，我的确也体会到什么都被家里人无条件地爱着，虽然经常被我老哥嫌弃幼稚但又在我需要的时候第一时间来保护我……以至于我从小都觉得“长兄如父”这四个字还是蛮有道理的。
我们长大的那个年代，普遍抚养成本不算太高。像我就读家门口的学校，随机派位的初中、家门口的高中，顶多就是在公立学校还是私立学校的学费之间犹豫，但基本上对于一个家庭并没有太大的负担。
但和我哥那种嘻嘻哈哈打闹长大的童年，让我从小对二胎的感受很深刻，手足之情带给我的童年支持，让我珍惜一辈子。
到我自己：也只敢生两个
我因为之前都在香港，所以生育政策相对影响不到我，我们决定要生几个孩子时，还真没想那么多。
当时太年轻，没有考虑过住房成本、没有考虑抚养成本的，我就很想三年抱两。
让老大和老二隔不到两岁，其实也是我自己的执念，想弥补一下童年的遗憾。我和我老哥年龄相差太大了，基本上没有什么共同爱好，所以轮到我自己了，就想孩子们能势均力敌一些，又可以互相制衡，然后有共同的语言，可以一起幼稚，一起享受童年的快乐。
所以，我还真的是坚定的二胎党，只要政策支持，我是肯定会生两娃的。
孩子的开支花费，前几年我感触并不深，因为我没坐月子没请月嫂，孩子大部分也是自己带，没送什么贵族早教机构，在孩子没上幼儿园前，我觉得这个成本还是挺舒服的。
但等孩子开始上幼儿园，就开始越来越深刻体会到养育两个孩子的成本。
反正算什么费用，我都是按两个吞金兽比例来看，不管怎么算，感觉吃亏的都是我们这些养家糊口的大人。如果还有计划买房、买车什么的，再加上抚养老人，我想只要一拿计算器和纸笔，算笔账，就觉得真的是太累了。
成本一定是相对而言的，因为每个城市都不一样。我觉得即使梁静茹给我的勇气，也只够支撑我去保住两个孩子成长的经济所需，剩下的积蓄和风险管理，总得留给我们这些中年老父母亲和我们要赡养的老人家吧。
为什么鼓励生，又为什么不敢生？
不查数据不知道，原来中国人口老龄化的趋势之加剧，二胎政策也并没有缓解多少。
中国前几年开放的二胎政策，过了几年后经济学家跟踪并观察数据的变化，发现有1/4的贡献都是已经生了一胎，受政策影响迟迟无法生二胎，所以这是在政策红利下堆积生育的结果。也就是说，这是存量效益，而不是自然生育率。
在开放二胎后的这几年里，2020年中国的自然生育率仅有1.3，连“生育率极低“的日本都有1.4。按照世界经济学算法，总和生育率2.1为世代更替水平，达到1.5则是“高度敏感警戒线”，但我们是1.3。
2019年的一份调查中，有一个横向对比数据是这样子的：
韩国人平均的理想子女数为2.45-2.55个；日本人平均的理想子女数为2.41-2.60个我国育龄妇女平均理想子女数为1.96个，而实际情况中，我国育龄妇女平均打算生育子女数却为1.75个。▼
我们连平均2个子女数都没满额啊，怎么谈及想生三个呢。
我是因为从小非独生子女，所以我对二胎有一个天然的亲近感，但是我身边很多朋友已经把生育一个孩子当成是默认选择，因为这是独生子女政策影响下的家庭结构框架。
从经济学角度来看，养育一个孩子，当然是可以倾尽更多的资源，来照顾好其中一个孩子。有时候我看着我家两个孩子也会感慨，“要是只生一个，我怎么养都不会觉得有负担”，而且相对来说，教育也会轻松很多。
此外，房价真的是压得人喘不过气来啊。国家已经有很明显在管控房价了，也在试图干预到学区房买卖中，打乱学区房对学位和生源的影响，但是这也不是一朝一夕能调整过来的。全国现在房价最高之一深圳，2019年的数据显示对于深圳普通居民来说，不吃不喝也要34.2年才能买得起一套房子，现在这个数肯定不止。
另外就是育儿成本实在是高昂，之前的新闻说，在上海养一个孩子从出生到初中要花费至少80万，堪比发达国家抚养一个孩子的成本，但是中国一二线城市的白领工资还不到发达国家的1/3。
育儿成本涨了，全国工资没涨，这让我们如何均摊资源呢？
还有一个原因我同样感触很深，那就是中国女性参加工作的比例高于世界大多数国家，但是在生育和家务的角色上，社会也要求女性付出更多。我身边很多朋友因为无法平衡家庭和工作，选择了放弃工作而回归家庭做兼职，而很多双职工家庭因为小孩子看护问题无足够人手照顾，所以只生一胎。
累是真的累，因为大多数在家里忙前忙后操心的还是我们这群中年父母，经济支柱、养育担当、养老责任，可哪天万一出现了风险呢？
前段时间，我身边一好朋友家老人生了大病，在广州一个月的医药费都是十万十万的出，还好他们家算是几十年经商是有积累的，若是换成普通工薪家庭呢？这数字真得压垮人。
说起来都是一堆泪，所以我觉得生一胎、二胎、三胎所面对的问题是一样的。
生三胎的前提是先有二胎；生二胎的前提是先有一胎；如果连一胎、二胎的坎都还没过，是没有勇气去生三胎的；
这个政策的好处是让想生三胎、已经生了三胎、或者意外有了三胎的家庭，一个可以喘息、安心的机会，但对于没有勇气的人，政策怎么变都不会影响。
经济学看的是趋势，老百姓看的是生活
鼓励生育政策主要是从经济学层面分析得出来的，按照目前的中国人口生育率和老龄化趋势，相当于每过一代人，出生人口就会减半，而到了2050年后，中国的老年人口将到达空前的4.5亿人，而出生人口持续减少，整个社会经济结构也会发生新的危机。
想想到了2050年，我家孩子也都不到40岁，的确不能不去想，如果那会儿整个社会缺少青壮年的话，那这个社会形态会发生怎么样的变化，说不忐忑肯定是假的。
老龄化趋势会阻碍中国的持续新鲜活力的发展，所以从政策层面，开放并鼓励生育，是对的。国家需要扭转生育颓势，为未来的发展多一些空间和机会。
但理想是美好的，现实总是骨感的。就现在的大环境来说，老百姓看到的并不是这些，房价高昂、资源稀缺、教育差距、抚养成本、医疗保障……如果这些没有缓解，其实年轻人、中年人，是没有太大的勇气去为未来响应。
二胎政策后生育率实际还是在下降，三胎政策想必也不会有太大的数据落差。
毕竟政策调整看的是宏观经济，但老百姓心里想的却是微观生活啊。
可能只有等到这一天，当我们头顶上没有那么重的压力，或者我们开始不介意这些压力的时候，才会真正去思考，想生几个就生几个吧。
我们撸起袖子，为了眼前的苟且，好好干吧！


END
我是萌芽，学龄前家庭教育品牌【小芽启萌】创始人，公众号萌芽研究所BUD（ID：myyjs_bud）专注于早教启蒙和亲子沟通，是百万妈妈信赖的育儿号。
码字不易
如果对你有所帮助
可以关注我
也可以点个赞哦",2021-06-01 15:15:49,55,0
三木在Yummy,yummy1234567,,2021-06-03 19:22:57,7,2
匿名用户,,大家努力多生点，我躺平看万家灯火其乐融融此生便足矣,2021-05-31 16:45:18,33,0
山虎讲两句,cang-sang-de-lao-lang,"90后的兄弟姐妹会越来越多，从此小20多岁的哥弟，姐妹不再罕见，房地产又一次向80后张开了血盆大口！
感谢大家的支持，认真看了大家的评论，就不一一回复，年龄这块确实把握有点偏差，以下是修改回答：
00后的兄弟姐妹会越来越多，从此小20多岁的哥弟，姐妹不再罕见，房地产又一次向80、90后张开了血盆大口！",2021-06-01 22:28:22,32,11
Kris在路上,krisgtd,"不说政策，单说每一个家庭。
我的看法是：
生不生三胎，妻子有百分之120的决定权。
老婆说生，那就生，生完经济压力大？那咱就好好赚钱呗。
老婆说不生，那咱就不生，又不是你家资产过亿有王位，要继承。
都说孩子是两个人的结晶，可是，作为男方来说，你并没有承担女方生育的痛苦，所以，在我看来，生孩子这件事，男人，不应该有发言权。
我已经把这个答案发给老婆了，其实，也是我一直以来的观点。
以上。",2021-05-31 17:15:08,84,16
疯话曰,feng-hua-yue-13,"没有配套政策支持就不会有什么影响
有能力生三孩的国家不允许可能也会生
没有能力生三孩的国家允许也不会生
放开生育并不是单纯的允许生，而需要一系列政策支持，在一二线城市购房已经给年轻人很大压力了，养育孩子的时间和金钱成本、优质教育资源/课外教育的金钱投入对年轻人的经济情况是很大的挑战；现阶段不得不承认的是女性在就业中无法避免受到不平等对待，后勤没有保障，女性或者年轻家庭在工作和生活中很难得到平衡，这让很多人不敢生，所以晚婚晚育、少子化，应该尽早从本质上解决问题吧",2021-05-31 16:30:01,45,14
子西,lixing-zhao,"高赞有个HR回答，女性职场会更艰难，我非常同意。没有企业愿意承担这种风险，这甚至都不仅仅是白给你工资的问题，关键在于你的工作找谁分担？如果你只休半年，还能分给其他同事，虽然其他同事没有这个义务，但也能勉为其难顶一顶渡过去，然而生三个，那就是3年干不了什么事，咋滴，你孩子未来是赡养同事吗？
其中，受影响最大的是已婚未育足3胎且在育龄的女性。
由于女权，哦，在男乎得自称女拳，由于女拳主义者和不婚主义者在努力发声，到处蹦哒，刷到了一定的存在感，许多企业看到未婚还是愿意给面试机会，说暂时不打算结婚，企业也有可能会信是个不婚族，所以一般还是会信至少能老老实实干一年，还是肯招。而已婚未育的话，没个结扎证明或者无生育能力证明，你猜企业会不会信你是不打算生育。
作为一个普通公民，我也没办法把国家政策废了，只能跳的更高，给女拳和不婚不育刷更多存在感，来给未婚女性减少一些劣势。最后，我觉得要纠正因生育导致的职场歧视很容易，然而，通过无需生育获得竞争优势爬上去的人，怎么会愿意纠正呢？",2021-07-02 10:42:08,3,18
筱江,xiao-jiang-61-66,穷人说跟我没关系，其实还真有关系，有钱人生三胎进一步抢占穷人资源，生了三胎不得给孩子再准备一套房？房价继续稳中有升。,2021-05-31 16:46:15,15,3
麻鬼,Buffalo-30-67,"要回答这个问题，必须回答：为什么是三胎，不是完全放开？
三胎意味着什么？
且不说照顾三个孩子的成本，单就照顾孩子的家务负担而言，三胎家庭必须有一个人牺牲工作。
如果说两胎在父母的帮助下还可能做到工作、生活的平衡；那么三胎基本上决定了，必须有个专职家庭主妇（或者家庭煮夫）。双职工极不可能做到双平衡。
一句话总结就是：双职工、普通工薪阶层不可能承受三胎。
那么哪些人有能力承受三胎？
是民营企业主、大中型企业的股东或董事过网络红人、明星等高收入人群。
对高收入人群而言，承担三个或更多孩子的抚养没有区别。
三胎这个限制，很明显就是针对这部分人群的。
从短期看：如果完全放开生育政策，很可能让高收入人群可以肆无忌惮的占领教育、医疗等公共资源，从而压低工薪阶层的资源量。
从长期看：如果完全放开生育政策，高收入人群的后代将从更大的范围掌控社会资源，从而形成一个庞大的特殊利益团体-----古代门阀制度又回来了。
所以，必须有个限制。从这点来看，中央对这部分人的能量和底线是有思考的。
基于这个判断，我个人认为，中国人口政策到这里就到头了。至少短期内不会再有大的变更。期待完全放开的人，可以熄灭这个幻想了。",2021-05-31 19:20:23,40,14
汪说,wo-jiao-mo-mo-82,"历史总是惊人的相似的。
我们经历过的问题，或者早就有人经历过。
我们来看看日本。
NHK纪录片《无缘社会》中记述：
2005年，日本男子的终身不婚率为16%，预计2030年会上升到大约30%，三个男子中就有一个终身不婚。
并且，预计女子的终身不婚率由2005年的7%上升到2030年的23%。
再加上离婚、丧失配偶的人，单身化在日本所有年龄段的人中蔓延开来。
单身在日本已经成为了流行。
那么中国呢？
我们来看看某媒体统计2020年中国的结离婚数据：
在物欲横流的当代，物欲引发的家庭问题更为尖锐。
人们倾向于更好的选择，自然离婚率一再攀升。
不错，中国也越来越多人选择单身。
再来看日本的老人。
近几十年来，日本家庭日趋小型化和少子化，老人开始不和儿女居住了。
NHK纪录片《老后破产》提到的资料：
在日本，独居的老年人生活开支往往只能依靠养老金，很容易陷入老后破产的境地。
80多岁的田代先生，独自居住在东京东南方港区的一栋老公寓里，完全依靠每月6000元（人民币后同）养老金生活，从中除去水电煤气等支出，以及3600元房租，生活费就只剩1300元左右。
要知道：在日本，一碗普通的拉面就要50元！
他平时午饭就吃一个饭团，或者最便宜的面条，为了省钱，被停电了也没有去供电局补缴电费通电。
在日本，跟田代先生一样靠微薄的养老金生活的独居老人超过600万。
日本在1961年开始制定养老金制度时，独自生活的老人还很少见，现在，社会结构已经明显改变了，但制度还是50年前的。
在过去的近20年间，因为经济衰退和老龄化等原因，劳动人口的数量和年收入在持续减少，这就意味着养老金缴费金额和人数在减少，领取养老金的人却越来越多。
2019年youtube某媒体调查，日本独居老人松原婆婆的养老金居然还比2018年少了600多元。
目前，日本在控制社会保障支出的方针的指导下，逐年降低养老金的支付额度，这就导致了老人可以收到的养老金也在持续减少。
当然，日本还有社会保障制度。
政府对生活在基本保障线下的穷人直接发放金钱。
但实际上，接受生活保护的老人却只占很少的比例。
因为只要有房产和存款，就算有资产，就没有资格申请生活保护，很多老人再苦也不舍得卖房子或者把存款花光。
因而，引发了独居老人以房抵押换取养老金的制度。（是不是很熟悉？）
更有甚者。
在日本一年有3万2千多例“无缘死者”，他们没有亲人、没有配偶、没有子女、没有工作，和社会的缘分已然被切断。
在他们背后，是更为庞大的“无缘死预备军”。
日本在经历经济高度增长期和泡沫时代之后，高龄、少子、失业、不婚和城市化让人和人之间的纽带变得脆弱。
当人们相互之间没有了关联、各不相干的时候，社会就变成了“无缘社会”。
里面有一个例子：
川崎先生一辈子辛勤的努力工作，但是人到中年依然遭遇裁员。
于是，他转到了一个牛奶厂成为了临时工，每天拿着一万日元的工资，川崎先生一生并未结婚，不辞劳苦的工作的原因是为了供奉妈妈的灵位在庙堂里。
他生平最大的愿望就是存好钱，让他百年之后能陪伴在妈妈身边。
可是，他突如其来遭遇重疾逝去，没有人知道他的遗愿，他的遗体遭到了火化，放在了公立机构后的墓园里。
直到工作人员翻阅他的日记，才真相大白。
在日本，像他一样的人多如牛毛。
造成日本的种种问题根源是什么？
不错，是少子化！
原来，我们的道路别人早就走过了。
那么，日本做了什么措施来挽救少子化老龄化的问题？
日本厚生劳动省2020年10月21日公布的最新统计数据显示，地方政府1～7月受理的怀孕申报为51万3850份，同比减少5.1％。
有可能由于就业形势恶化等，推迟结婚和生育的人增加，新冠疫情恐怕会加速日本的人口减少。
日本预定从2019年10月开始，全面实行幼儿园免费，同时还将计划为低收入家庭提供无偿大学教育。
从2020年4月开始，日本政府将全面实行“育人革命”。2万亿日元（约合175亿美元）的“育人革命”预算案，其中8千亿日元将让学龄前免费教育覆盖全国，所有3到5岁日本儿童都将免费上幼儿园。
孩子出生后，每月领取儿童补贴。
0~3岁的孩子每月可领取1万5千日元（约930元人民币）。
3岁至小学毕业（12岁），第一个孩子和第二个孩子每月有1万日元（约620元人民币）、第三个孩子开始每月有1万5千日元（约920元人民币）补贴。
初中生（13~15岁）每月有1万日元（约620人民币），18岁之前每月可领取5千日元（约310元人民币）补贴。
因为儿童常因病或受伤而去医院，日本各地政府也纷纷对儿童医疗进行补助。
各地的实施情况因当地财政状况不同而有差异，例如，千叶县的某市，0岁至初中三年级（15岁）的孩子，一次门诊的费用为300日元（约18元人民币），住院也只需每天300日元（约18元人民币）。
日本大多数的地方政府都对初中三年级及以下的孩子实施医疗补助，以此来帮助有孩子的家庭。
尽管如此，日本人依然不愿意生孩子。
原因是什么？
是因为生活质量。
在日本，经济高度发达，同时也造成了阶级固化。
也就是说：寒门再难出贵子！
我们看到日本动不动就是数百年的企业，手艺人都是一代接一代。
什么“煮饭仙人”，什么“煮茶大师”，这其实背后隐含着：农家的孩子再难成为贵子。
手艺和技术只能一代又一代的传承。
在经济高度发达的半个世纪里，日本人的成功，大部分是二战后起的大财团大家族。
连政治都是一家轮一家换主人。
普通日本人辛辛苦苦工作，也再难跨越这一个鸿沟。
请问：普通人的眼里还有未来吗？
转回到问题，借日本社会的现象来看看中国社会。
难度不具有高度相似性吗？
所谓的三胎，乃至于四胎，五胎，再多的鼓励又有何用呢？
毕竟对于有资源的人来说，多少个都养得起，某导演都可以7个了。
普通人呢？一个孩子的户口学位问题就已经难了。
所以，为什么开放三胎？关键是有资源的人养的起，以后人口增长靠他们了。
穷人，还是看看自己的荷包吧！",2021-06-17 19:26:37,30,5
清云野鹤,luo-xian-kun-86,没什么影响啊，该生的还是会生，不生的还是不生，想生又生不了的还是生不了。,2021-05-31 17:01:07,22,1
搜藏控,sou-cang-kong-97,"如今随着科学的进步和社会的发展,人们对于身体的了解越来越透彻,女性的地位也逐渐提升,封建社会的陋习已经不复存在,女性也可以掌握自己的命运轨迹.",2021-06-30 19:12:17,6,9
小鸟不死,tian-ya-he-chu-shi-shen-zhou-97,"学一下教员的做法，下文来自《关心群众生活，注意工作方法》：
在我们的工作人员中，曾经看见这样的情形：他们只讲扩大红军，扩充运输队，收土地税，推销公债，其他事情呢，不讲也不管，甚至一切都不管。比如以前有一个时期，汀州市政府只管扩大红军和动员运输队，对于群众生活问题一点不理。汀州市群众的问题是没有柴烧，资本家把盐藏起来没有盐买，有些群众没有房子住，那里缺米，米价又贵。这些是汀州市人民群众的实际问题，十分盼望我们帮助他们去解决。但是汀州市政府一点也不讨论。所以，那时，汀州市工农代表会议改选了以后，一百多个代表，因为几次会都只讨论扩大红军和动员运输队，完全不理群众生活，后来就不高兴到会了，会议也召集不成了。扩大红军、动员运输队呢，因此也就极少成绩。这是一种情形。
长冈乡有一个贫苦农民被火烧掉了一间半房子，乡政府就发动群众捐钱帮助他。有三个人没有饭吃，乡政府和互济会就马上捐米救济他们。去年夏荒，乡政府从二百多里的公略县⑷办了米来救济群众。才溪乡的这类工作也做得非常之好。这样的乡政府，是真正模范的乡政府。他们和汀州市的官僚主义的领导方法，是绝对的不相同。我们要学习长冈乡、才溪乡，反对汀州市那样的官僚主义的领导者！
我们应该深刻地注意群众生活的问题，从土地、劳动问题，到柴米油盐问题。妇女群众要学习犁耙，找什么人去教她们呢？小孩子要求读书，小学办起了没有呢？对面的木桥太小会跌倒行人，要不要修理一下呢？许多人生疮害病，想个什么办法呢？一切这些群众生活上的问题，都应该把它提到自己的议事日程上。应该讨论，应该决定，应该实行，应该检查。要使广大群众认识我们是代表他们的利益的，是和他们呼吸相通的。要使他们从这些事情出发，了解我们提出来的更高的任务，革命战争的任务，拥护革命，把革命推到全国去，接受我们的政治号召，为革命的胜利斗争到底。长冈乡的群众说：“共产党真正好，什么事情都替我们想到了。”模范的长冈乡工作人员，可尊敬的长冈乡工作人员！他们得到了广大群众的真心实意的爱戴，他们的战争动员的号召得到广大群众的拥护。要得到群众的拥护吗？要群众拿出他们的全力放到战线上去吗？那末，就得和群众在一起，就得去发动群众的积极性，就得关心群众的痛痒，得真心实意地为群众谋利益，解决群众的生产和生活的问题，盐的问题，米的问题，房子的问题，衣的问题，生小孩子的问题，解决群众的一切问题。",2021-06-04 16:48:49,40,5
王家CFA,wang-jia-48-31,养娃就像买车，别只盯着 BBA。,2021-06-08 16:36:09,6,10
倪云华,yunqish,,2021-06-06 18:38:31,4,2
皇兄怎比姚马将,ma-yu-hang-43-76,"广大的党员干部不能因为这样那样的原因
不生育，不结婚
不只生一个或两个",2021-12-09 12:52:05,35,7
